id,movie1,movie2,movie3,movie4,movie5,movie6
102,274,273,566,498,773,765
103,750,749,1553,1556,1575,2264
104,120,271,254,222,356,460
105,72,64,90,113,140,149
106,618,1112,1084,1332,2117,2051
107,129,456,970,1054,1456,1183
108,95,231,287,640,1092,3110
109,374,683,772,933,1111,1279
110,3088,3100,2874,4516,4561,4608
111,83,150,180,271,254,554
112,51,64,78,80,149,193
113,72,64,105,90,140,149
114,34,118,220,382,391,447
115,33,99,260,359,434,817
116,24,122,135,350,368,490
117,127,190,191,194,632,687
118,34,114,220,382,391,447
119,782,1133,1691,2176,3063,3420
120,83,150,180,271,254,527
121,169,511,894,1082,1825,1535
122,7,11,39,116,368,490
123,18,201,515,768,837,1931
124,241,453,421,517,1104,1718
125,0,15,84,152,552,1160
126,188,281,347,795,738,611
127,205,318,847,687,831,1103
128,417,435,924,910,1311,1918
129,107,260,434,456,882,1229
130,10,21,23,46,64,78
131,223,877,1378,2174,2898,2497
132,726,2015,2267,1803,2761,2595
133,31,36,139,210,242,293
134,72,100,105,90,113,140
135,7,116,243,333,350,392
136,641,642,1343,1871,2896,2507
137,92,205,266,319,565,737
138,53,54,235,305,432,1180
139,5,31,36,37,242,293
140,72,64,105,90,113,149
141,1,84,79,83,429,675
142,72,100,105,90,113,140
143,40,1702,1426,2242,3126,4155
144,750,749,1553,1556,1575,2264
145,1154,2157,1766,3802,4017,3772
146,1,79,141,416,675,923
147,221,298,265,364,553,544
148,59,319,327,341,330,456
149,51,64,78,80,112,193
150,83,180,271,254,547,527
151,319,327,341,330,456,663
152,0,15,84,125,552,1160
153,95,231,331,906,789,902
154,881,1394,1863,2446,1944,1791
155,232,823,672,1006,2198,2279
156,83,150,180,271,254,527
157,937,830,989,1001,1093,1722
158,175,714,859,2000,2244,2148
159,50,359,337,444,622,1036
160,1524,2028,2073,3018,2620,4134
161,74,199,379,477,415,638
162,11,39,153,231,390,760
163,769,1711,1966,2304,2078,2275
164,75,256,776,1135,1279,1402
165,51,64,78,80,112,149
166,51,64,78,80,112,149
167,15,16,20,29,53,297
168,1220,1457,2214,2131,2024,2349
169,72,105,90,113,140,253
170,750,749,1553,1556,1575,2264
171,750,749,1553,1556,1575,2264
172,116,122,298,313,530,813
173,340,1152,1324,2441,1941,3204
174,69,176,211,382,541,447
175,987,1232,1793,2645,2673,3970
176,69,174,211,382,541,447
177,881,1394,1863,2446,1944,1791
178,81,154,250,244,881,1944
179,31,181,270,419,418,810
180,83,150,271,254,547,527
181,36,37,293,270,370,810
182,252,326,817,836,951,1771
183,36,37,181,293,270,810
184,35,84,152,416,675,840
185,195,444,415,504,638,957
186,189,283,427,467,694,845
187,256,921,1359,1821,1854,2455
188,281,347,351,795,738,1301
189,186,283,393,397,467,694
190,117,194,637,632,1033,1116
191,117,423,800,1033,899,1233
192,314,626,1055,1220,1109,1371
193,51,64,78,80,112,149
194,117,687,1033,723,1116,2169
195,74,185,161,342,379,475
196,300,1700,1992,1831,1846,2026
197,199,269,296,469,477,464
198,84,152,252,970,836,1079
199,197,269,296,469,477,464
200,108,127,280,342,504,640
201,274,307,311,515,579,1005
202,160,1524,2028,2073,3018,2620
203,238,587,711,756,2009,4025
204,163,1637,1711,1966,2304,2078
205,127,284,318,573,1032,1134
206,300,1029,1992,1831,2166,2026
207,5,31,51,149,166,293
208,729,1799,1645,1728,2510,2415
209,1040,1496,2575,2429,3273,3773
210,133,151,663,1045,1134,1139
211,69,174,176,382,541,447
212,47,733,1016,1094,1463,1885
213,147,189,221,251,283,397
214,51,64,78,80,112,149
215,1980,2243,2847,2444,3428,3228
216,19,95,153,331,906,902
217,690,997,1538,1295,1635,1757
218,1154,2157,1893,3802,4017,4173
219,51,64,78,80,112,149
220,34,114,118,382,391,447
221,147,298,265,364,553,544
222,83,150,180,271,254,527
223,877,1378,2174,2898,2497,2373
224,34,114,118,220,382,391
225,260,434,451,556,693,603
226,343,1074,1154,1792,1813,1894
227,16,20,29,53,274,323
228,495,852,1118,1747,2647,3284
229,48,53,338,275,271,527
230,511,894,1117,1417,1769,2060
231,95,153,331,906,789,902
232,155,476,721,672,1288,1637
233,3088,3100,2874,4516,4561,4608
234,83,150,180,271,254,527
235,53,54,138,305,432,1180
236,47,733,1016,1094,1463,1885
237,55,274,541,498,505,809
238,203,587,711,756,2009,4025
239,261,426,485,876,1480,2044
240,47,733,1016,1094,1463,1885
241,124,453,421,517,1104,1718
242,5,31,36,37,139,293
243,7,333,296,488,1214,1881
244,881,1394,1863,2446,1944,1791
245,42,60,229,1156,1276,1379
246,363,472,752,702,639,992
247,1382,1053,1674,2581,2520,2501
248,5,31,36,37,139,242
249,820,1226,1096,1223,1269,1590
250,315,478,550,999,1130,2546
251,189,283,397,889,1847,2089
252,28,182,151,817,836,951
253,169,511,894,1082,1825,1535
254,83,150,180,271,547,527
255,294,388,664,722,1021,1264
256,776,921,1693,1821,1854,2455
257,428,440,1786,1547,2928,3415
258,47,733,1016,1094,1463,1885
259,82,106,264,539,1112,2189
260,115,225,434,451,693,603
261,239,426,485,876,1480,2044
262,690,790,654,1192,1838,1665
263,48,254,328,356,460,429
264,82,106,259,539,1112,2189
265,147,221,298,364,553,544
266,92,148,573,1032,1164,1690
267,58,492,711,1108,2009,4025
268,24,354,287,542,1045,1644
269,199,197,296,469,477,464
270,5,31,36,37,139,242
271,83,150,180,254,547,527
272,816,747,1234,1184,2341,3992
273,274,566,498,773,765,920
274,53,273,297,566,498,602
275,68,338,229,308,283,344
276,462,1418,1498,2381,1900,2963
277,1213,2082,2076,2074,2716,2712
278,173,453,517,536,1152,960
279,72,105,90,113,140,336
280,200,303,288,342,508,504
281,188,347,795,738,611,1301
282,223,877,1378,2174,2898,2497
283,189,186,393,397,467,694
284,205,483,1723,1675,2517,2113
285,628,772,1043,1087,1494,1684
286,27,33,50,99,359,434
287,44,268,354,368,490,640
288,287,640,1134,1102,1644,3039
289,41,1290,1511,1507,2433,1905
290,8,34,174,176,447,471
291,3088,3100,2874,4516,4561,4608
292,53,54,138,235,305,432
293,5,31,36,37,139,242
294,255,388,664,722,1021,1264
295,2780,2071,2472,2327,2894,3259
296,199,197,269,469,477,464
297,16,20,29,53,274,323
298,221,313,465,553,592,615
299,95,153,231,331,906,789
300,196,1700,1992,1831,1846,2026
301,644,657,1581,2404,2489,2364
302,55,69,237,290,541,560
303,122,161,280,379,638,1138
304,596,1228,1118,1866,2651,2649
305,53,54,138,235,432,1180
306,51,64,78,80,112,149
307,201,274,311,515,579,1005
308,338,243,275,333,344,393
309,43,61,515,832,834,1246
310,320,584,698,761,901,803
311,101,698,761,809,871,803
312,596,746,904,1228,1118,1402
313,298,372,465,553,592,615
314,626,1220,1371,1390,1685,2131
315,250,478,550,999,1130,2546
316,10,21,23,45,46,111
317,47,733,1016,1094,1463,1885
318,127,172,205,283,344,1103
319,59,151,148,341,330,663
320,310,584,698,761,901,803
321,881,1883,1863,2446,2222,2698
322,56,278,453,517,933,960
323,16,20,29,53,274,297
324,568,793,1075,1064,1434,1368
325,10,21,23,33,46,57
326,582,578,1154,2157,2332,1986
327,59,151,148,319,341,330
328,48,263,254,356,460,429
329,81,347,340,334,1322,1701
330,59,148,319,327,341,456
331,95,153,231,906,789,902
332,428,440,1786,1547,2928,3415
333,14,92,135,243,308,354
334,81,329,347,340,1322,1701
335,5,31,36,37,139,242
336,72,100,90,427,475,1262
337,59,151,148,341,330,456
338,68,275,229,308,283,344
339,10,21,23,46,64,78
340,81,329,347,334,1322,1701
341,59,148,319,327,330,456
342,199,200,195,197,280,296
343,226,355,416,524,1876,4407
344,189,199,338,275,283,393
345,7,567,828,886,1386,1653
346,24,116,268,354,265,333
347,188,281,351,795,738,611
348,987,1232,1793,2645,2673,3970
349,1213,2082,2076,2074,2716,2712
350,116,122,135,151,368,497
351,188,281,347,795,738,1301
352,223,877,1378,2174,2898,2497
353,567,886,874,1653,2054,1552
354,24,268,287,542,1045,1644
355,343,453,421,517,1026,1104
356,83,150,180,271,254,527
357,921,1359,1821,2004,1854,1911
358,679,1133,1826,2121,2842,3420
359,27,33,50,99,115,286
360,59,151,319,663,883,1134
361,428,440,1786,1547,2928,3415
362,532,733,1467,1151,1149,1172
363,2,992,1143,1257,1115,1929
364,147,221,265,465,544,592
365,10,21,23,46,64,78
366,188,281,347,795,738,611
367,428,440,1786,1547,2928,3415
368,122,151,350,287,490,640
369,83,150,180,271,254,527
370,181,418,810,999,1167,1130
371,748,861,1353,2067,2035,2456
372,298,313,465,553,592,737
373,551,576,997,1538,1693,1133
374,683,772,2102,3348,4115,4310
375,1024,1461,1763,2470,1674,2581
376,204,771,1681,2354,3125,3172
377,14,186,333,467,415,638
378,881,1394,1863,2446,1944,1791
379,74,161,199,477,415,638
380,62,119,546,1995,2065,2176
381,33,99,115,260,359,434
382,34,114,118,220,391,447
383,95,153,231,331,906,789
384,385,643,691,962,1491,1770
385,643,691,962,1491,1770,2612
386,294,388,664,722,1021,1264
387,428,440,1786,1547,2928,3415
388,255,294,664,722,1021,1264
389,15,84,152,552,1160,1283
390,11,39,153,162,231,760
391,34,114,118,220,382,447
392,135,344,393,467,612,563
393,189,199,338,275,283,344
394,643,830,1491,1770,2612,1810
395,243,1214,1386,1973,2379,3150
396,829,946,1198,968,2034,2317
397,147,189,221,251,283,502
398,750,749,1553,1556,1575,2264
399,51,64,78,80,112,149
400,1545,2004,1832,1822,2435,2845
401,567,886,874,1653,2054,1552
402,634,692,1294,1453,2081,2819
403,135,243,308,333,344,393
404,441,1057,1212,1557,1289,1211
405,47,733,1016,1094,1463,1885
406,101,698,761,809,871,803
407,169,511,894,1082,1825,1535
408,209,1040,1496,2575,2429,3273
409,3088,3100,2874,4516,4561,4608
410,881,1394,1863,2446,1944,1791
411,816,747,1234,1184,2341,3992
412,697,892,1437,1670,1864,2247
413,51,64,78,80,112,149
414,422,449,576,787,753,997
415,74,161,199,197,296,379
416,141,146,343,524,675,920
417,65,128,924,910,1311,1120
418,181,370,810,999,1167,1130
419,181,232,810,721,672,1356
420,186,275,392,467,450,694
421,241,453,517,559,1104,960
422,594,997,1157,1538,2075,2018
423,191,352,800,1233,1637,1632
424,438,1294,1120,1772,1676,2081
425,588,898,1995,1500,1628,1686
426,239,261,485,876,1480,2044
427,189,186,336,283,467,694
428,440,940,1786,1547,2928,3415
429,83,150,180,271,254,527
430,14,92,266,456,556,763
431,750,749,1553,1556,1575,2264
432,60,138,235,895,1471,1156
433,750,749,1553,1556,1575,2264
434,115,225,260,451,693,603
435,128,417,924,910,1311,1918
436,199,197,269,296,466,477
437,75,1243,1495,1927,2824,3050
438,424,1294,1120,1772,1676,2081
439,191,232,1945,3163,2367,2395
440,428,940,1786,1547,2928,3415
441,294,1057,1212,1557,1289,1211
442,203,238,492,587,711,792
443,734,999,934,936,1246,1349
444,957,1139,1138,1441,1849,2080
445,417,561,627,924,910,1725
446,373,551,576,997,1538,1133
447,34,114,118,220,382,391
448,454,780,1176,1858,1702,2646
449,787,753,825,762,997,1567
450,318,392,467,420,612,1224
451,225,260,434,556,693,603
452,83,150,180,271,254,527
453,241,421,517,559,1104,960
454,448,780,1176,1858,1702,2646
455,1424,1481,2213,2045,2186,2560
456,59,107,148,341,337,330
457,822,1448,1394,1171,1712,2283
458,646,1117,1417,1398,1769,1675
459,10,21,23,46,64,78
460,83,150,180,271,254,527
461,276,462,1498,2381,1900,2963
462,276,1418,1498,2381,1900,2963
463,188,351,811,1065,1301,1551
464,199,197,269,296,469,477
465,298,372,553,592,737,615
466,74,161,199,197,379,436
467,189,186,283,427,694,845
468,3,183,263,181,328,391
469,199,197,269,296,477,464
470,587,1143,1257,1115,1565,1377
471,34,114,118,220,382,391
472,71,106,752,1112,1084,1159
473,10,21,23,46,64,78
474,111,83,150,180,271,254
475,161,195,260,336,434,693
476,232,672,1338,2198,2279,3163
477,199,197,269,296,469,464
478,750,749,1553,1556,1575,2264
479,66,97,418,627,990,863
480,74,161,199,379,477,415
481,51,64,78,80,112,149
482,644,657,1581,2404,2489,2364
483,260,284,434,693,603,1035
484,470,1257,1115,1565,1377,1521
485,239,261,426,876,1480,2044
486,1213,2082,2076,2074,2716,2712
487,223,877,1378,2174,2898,2497
488,14,92,135,243,308,354
489,750,749,1553,1556,1575,2264
490,122,151,350,368,287,640
491,662,626,1445,1620,1823,1929
492,58,711,1108,1080,2009,4025
493,1213,2082,2076,2074,2716,2712
494,2785,2579,2852,2935,3363,3498
495,228,852,1118,1747,2647,3284
496,155,1011,1006,1370,2084,1874
497,87,151,319,350,327,663
498,53,274,273,297,566,602
499,402,582,634,692,2157,2487
500,1213,2082,2076,2074,2716,2712
501,106,618,1112,1084,1332,2117
502,147,189,221,251,283,397
503,106,618,1112,1084,1332,2117
504,185,200,195,280,342,336
505,237,835,1698,1981,2681,2096
506,16,20,29,53,274,323
507,62,437,812,621,1243,1049
508,5,68,372,751,1169,1302
509,314,591,1220,1390,1217,1823
510,41,1290,1511,1507,2433,1905
511,894,1117,1417,1769,2060,2144
512,53,54,138,235,305,432
513,1,79,141,146,416,675
514,218,1154,2157,3802,4017,4173
515,61,201,309,532,832,834
516,1213,2082,2076,2074,2716,2712
517,241,453,421,559,1104,960
518,428,440,1786,1547,2928,3415
519,1,84,79,83,141,429
520,223,877,1378,2174,2898,2497
521,95,153,147,221,298,265
522,832,1246,1349,1316,1142,1555
523,47,733,1016,1094,1463,1885
524,343,226,355,416,1876,4407
525,3088,3100,2874,4516,4561,4608
526,83,150,180,271,254,527
527,83,150,180,271,254,547
528,34,114,118,220,382,391
529,904,1118,1007,2053,1646,2681
530,147,221,298,265,553,544
531,793,1210,1368,1546,1806,2064
532,47,733,1016,1094,1463,1885
533,881,1394,1863,2446,1944,1791
534,11,39,107,162,456,390
535,106,618,1112,1084,1332,2117
536,241,453,421,517,559,1104
537,106,618,1112,1084,1332,2117
538,887,1242,1671,2218,1239,1726
539,82,106,264,259,1112,2189
540,3,421,418,536,810,1000
541,69,174,176,211,382,447
542,24,116,268,354,265,333
543,750,749,1553,1556,1575,2264
544,147,221,298,265,364,553
545,644,657,1581,2404,2489,2364
546,62,120,104,217,356,824
547,83,150,180,271,254,527
548,69,174,176,237,211,274
549,51,64,78,80,112,149
550,250,315,478,999,1130,2546
551,256,373,576,727,776,1071
552,0,15,35,84,152,389
553,221,298,313,465,592,615
554,83,150,180,271,254,547
555,820,1209,1447,1432,1638,1458
556,225,451,693,573,763,1690
557,889,1801,1829,2918,2113,3025
558,428,440,1786,1547,2928,3415
559,69,174,176,211,382,541
560,21,23,55,72,105,90
561,97,870,1000,1121,1725,1410
562,362,840,1820,2707,2152,2346
563,74,161,260,434,379,392
564,3088,3100,2874,4516,4561,4608
565,32,95,137,737,689,865
566,274,273,498,773,765,920
567,27,33,99,886,1036,1653
568,324,842,1083,1708,1368,1612
569,85,771,2207,2324,2376,2105
570,317,523,900,1016,1172,1317
571,31,36,37,139,165,166
572,375,713,1649,1907,2925,2325
573,92,266,556,1032,1134,3611
574,320,310,584,698,761,901
575,5,751,1065,1551,1954,1809
576,373,551,997,1538,1693,1133
577,95,153,231,331,906,789
578,27,50,145,359,326,622
579,201,320,310,698,1005,950
580,30,168,226,841,1074,1205
581,630,1300,2049,1679,3203,2655
582,1154,2157,2666,3802,4173,4328
583,59,151,148,319,341,330
584,320,310,698,761,901,803
585,437,931,1243,1007,1495,1353
586,241,453,421,517,559,1104
587,203,238,442,492,711,792
588,425,898,1995,1500,1628,1686
589,953,1285,1781,1800,1775,2172
590,47,733,1016,1094,1463,1885
591,509,1182,1217,1373,1823,1529
592,221,298,313,465,553,615
593,34,114,118,220,382,391
594,449,787,904,1118,997,1157
595,67,916,1668,1647,2246,2463
596,1279,1247,1866,2273,2957,3506
597,27,33,50,99,159,359
598,644,657,1581,2404,2489,2364
599,630,1300,2049,1679,3203,2655
600,428,440,1786,1547,2928,3415
601,428,440,1786,1547,2928,3415
602,274,273,566,498,773,765
603,225,260,434,451,556,693
604,1075,1069,1064,1187,1039,1826
605,97,561,1725,1410,1882,2482
606,106,618,1112,1084,1332,2117
607,16,20,29,53,274,323
608,426,485,923,876,1349,1480
609,95,137,153,331,565,737
610,989,1210,1609,1296,1751,1665
611,188,281,347,795,738,1301
612,68,74,161,344,393,379
613,15,552,970,1160,1456,1283
614,11,39,107,475,390,760
615,221,298,313,465,553,592
616,626,1390,1896,2214,2131,2024
617,27,33,99,567,785,886
618,106,1112,1084,1332,2117,2051
619,798,1226,1002,1795,2189,3201
620,1213,2082,2076,2074,2716,2712
621,453,507,517,1104,1718,2216
622,27,33,50,99,159,359
623,462,1900,2963,2999,2684,3020
624,683,772,2102,3348,4115,4310
625,454,671,848,1702,2155,2394
626,314,1220,1371,1390,1685,2131
627,66,65,97,870,990,863
628,285,772,1043,1087,1304,1684
629,28,151,252,397,502,663
630,1300,2049,1679,3203,2655,2385
631,209,1040,1496,2575,2429,3273
632,117,190,194,637,1033,1116
633,85,892,1864,2324,2376,3196
634,402,582,692,2157,2487,2666
635,750,749,1553,1556,1575,2264
636,73,1100,1096,1223,1269,1590
637,190,713,632,1460,1648,2925
638,74,161,199,197,296,379
639,1208,1667,2036,2503,2250,3175
640,44,268,354,368,287,490
641,987,1232,1793,2645,2673,3970
642,987,1232,1793,2645,2673,3970
643,394,691,962,830,1491,1770
644,657,1581,2404,2489,1998,2364
645,28,151,252,483,663,836
646,458,511,894,1117,1417,1769
647,59,151,148,319,341,330
648,249,827,820,1209,1432,1638
649,15,152,737,552,970,1160
650,956,952,1785,1619,1373,1949
651,478,543,829,946,1198,968
652,881,1394,1863,2446,1944,1791
653,2555,3668,3577,3144,4806,4423
654,690,790,1192,1838,1665,2982
655,199,197,269,296,469,477
656,816,747,1234,1184,2341,3992
657,644,1581,2404,2489,1998,2364
658,987,1232,1793,2645,2673,3970
659,491,662,1445,1620,2423,2421
660,51,64,78,80,112,149
661,7,19,122,216,303,350
662,491,626,1445,1620,1823,1929
663,151,319,327,341,330,456
664,255,294,388,722,1021,1264
665,7,243,333,296,488,1214
666,451,573,819,1341,1407,2281
667,240,362,532,1016,1268,1317
668,61,593,936,1246,1349,1316
669,252,326,817,836,951,1771
670,750,749,1553,1556,1575,2264
671,511,625,894,1202,1253,2155
672,155,232,476,721,1288,1637
673,70,827,648,825,1848,1432
674,72,64,105,90,113,140
675,1,84,79,83,141,429
676,428,440,1786,1547,2928,3415
677,72,105,90,113,140,169
678,19,39,87,108,162,280
679,358,1133,1826,2121,2842,3420
680,750,749,1553,1556,1575,2264
681,51,64,78,80,112,149
682,750,749,1553,1556,1575,2264
683,772,1454,2102,3348,4115,4310
684,1455,1514,2010,2481,2142,2391
685,56,111,338,275,229,498
686,3088,3100,2874,4516,4561,4608
687,127,194,847,1033,1724,1945
688,225,260,434,451,556,693
689,124,466,432,436,565,837
690,217,944,1381,1635,1757,2231
691,385,643,962,1491,1770,2612
692,582,634,1154,1893,2441,2487
693,225,260,434,451,556,603
694,189,186,283,427,467,845
695,1382,1053,1674,2581,2520,2501
696,106,618,1112,1084,1332,2117
697,892,1437,1670,1864,2247,2424
698,320,310,584,761,901,803
699,116,172,368,592,1054,2610
700,294,388,664,722,1021,1264
701,191,419,721,899,1945,2521
702,82,850,2252,2781,3384,4380
703,199,197,269,296,469,477
704,428,440,1786,1547,2928,3415
705,3088,3100,2874,4516,4561,4608
706,953,1285,1781,1800,1775,2172
707,94,864,1489,1256,1939,2087
708,1069,1187,2090,2155,2427,2692
709,56,111,227,222,274,273
710,83,150,180,271,254,547
711,58,492,1108,1080,2009,4025
712,7,280,336,475,504,614
713,572,1649,1907,2925,2325,2804
714,175,859,2000,2244,2148,2924
715,557,885,1801,1829,2430,2918
716,3088,3100,2874,4516,4561,4608
717,15,44,218,613,918,1283
718,8,34,174,176,290,447
719,16,20,29,53,274,323
720,287,640,1134,1102,1644,3039
721,181,232,419,810,672,1356
722,255,294,388,664,1021,1264
723,987,1232,1793,2645,2673,3970
724,1213,2082,2076,2074,2716,2712
725,62,380,546,1862,2274,2176
726,2015,2267,1803,2761,2595,2478
727,143,188,351,551,1301,2284
728,1213,2082,2076,2074,2716,2712
729,1799,1645,1728,2510,2415,3029
730,199,197,269,296,469,477
731,47,733,1016,1094,1463,1885
732,29,48,53,54,297,547
733,47,1016,1094,1463,1320,1885
734,34,118,471,668,1060,1246
735,428,440,1786,1547,2928,3415
736,28,107,122,151,252,645
737,59,148,341,330,465,755
738,188,281,347,795,611,1301
739,223,877,1378,2174,2898,2497
740,659,662,682,670,635,2423
741,28,107,115,129,252,817
742,128,418,435,999,1311,1167
743,1382,1053,1674,2581,2520,2501
744,189,199,197,338,275,283
745,28,135,151,397,502,663
746,264,259,539,596,1866,2649
747,816,1234,1184,2341,3623,3992
748,371,400,2456,2020,2615,2362
749,750,1553,1556,1575,2264,2403
750,749,1553,1556,1575,2264,2403
751,5,68,575,508,1697,1809
752,71,106,472,1112,1084,1159
753,449,787,825,762,997,1567
754,630,1300,2049,1679,3203,2655
755,59,148,319,327,341,330
756,58,492,711,1108,2009,4025
757,775,770,1063,1125,1123,1465
758,659,662,682,670,635,2423
759,47,733,1016,1094,1463,1885
760,11,39,153,162,231,390
761,101,574,698,809,871,803
762,449,787,753,825,1424,1567
763,225,451,556,693,573,1690
764,147,221,265,544,970,1456
765,22,274,273,566,498,773
766,499,578,634,893,1576,1642
767,106,618,1112,1084,1332,2117
768,36,310,584,761,809,871
769,163,1711,1966,2304,2078,2275
770,793,985,1125,1708,2064,2286
771,581,1681,3370,3515,3172,3094
772,683,1454,2102,3348,4115,4310
773,274,273,566,498,765,920
774,47,733,1016,1094,1463,1885
775,770,1063,1125,941,1123,1465
776,256,921,1693,1821,1854,2455
777,644,657,1581,2404,2489,2364
778,223,877,1378,2174,2898,2497
779,1213,2082,2076,2074,2716,2712
780,454,448,1176,1858,1702,2646
781,51,64,78,80,112,149
782,119,1133,1691,2176,3063,3420
783,1382,1053,1674,2581,2520,2501
784,0,15,35,84,152,389
785,25,182,815,1771,1760,1818
786,189,186,283,397,467,694
787,449,753,825,762,1424,1567
788,557,889,1082,1801,1809,2080
789,95,153,231,331,906,902
790,690,654,1192,1838,1665,2982
791,1437,1374,3196,2390,2408,3174
792,203,238,442,492,587,711
793,985,1050,1091,1708,1368,2064
794,58,492,711,1108,2009,4025
795,188,281,347,738,611,1301
796,53,54,138,235,305,432
797,170,171,543,2057,2403,2085
798,1002,1216,1795,1743,3074,2428
799,57,1309,1375,1614,2206,3506
800,191,232,672,1233,1262,1637
801,132,931,1044,1513,2922,2194
802,83,150,180,271,254,547
803,320,310,584,698,761,901
804,887,1671,2218,1239,1726,2460
805,83,263,271,328,460,866
806,16,20,29,53,274,323
807,106,618,1112,1084,1332,2117
808,285,628,1043,1087,1304,1684
809,320,584,698,761,871,803
810,36,37,181,293,270,370
811,188,351,463,921,1301,1359
812,75,507,1677,1165,1488,2216
813,39,147,221,265,364,544
814,438,424,1294,1120,1444,1676
815,252,326,817,836,951,1771
816,747,1234,1184,2341,3623,3992
817,115,116,135,252,836,951
818,157,1722,2141,2808,2737,2512
819,451,573,1155,1723,2517,3611
820,249,1226,1096,1223,1269,1590
821,987,1232,1793,2645,2673,3970
822,457,1448,1394,1171,1712,2283
823,82,155,496,702,1127,1006
824,150,180,271,254,222,710
825,449,787,827,753,762,1267
826,5,31,51,149,166,207
827,648,825,673,1432,1567,1638
828,27,33,99,567,886,1036
829,478,543,946,1198,968,1085
830,157,394,937,643,1491,1770
831,74,127,161,379,847,687
832,61,309,761,871,834,1177
833,228,414,1747,2647,3177,4291
834,61,309,761,871,832,1177
835,320,584,698,761,809,871
836,28,182,151,252,817,951
837,18,123,133,195,286,336
838,153,614,906,789,1618,1973
839,131,520,877,2035,2497,3219
840,184,562,1200,1307,1820,2707
841,30,1074,1361,1416,1792,1894
842,568,985,1125,1708,2982,3186
843,24,268,354,542,957,813
844,59,148,319,341,330,456
845,14,186,427,397,467,502
846,83,263,271,328,460,866
847,127,715,885,831,1103,1945
848,454,448,780,1176,1858,1702
849,644,657,1581,2404,2489,2364
850,683,772,1454,2102,3348,4115
851,428,440,1786,1547,2928,3415
852,946,1198,1107,979,2075,1606
853,2238,2724,2657,2499,3426,3416
854,294,388,664,722,1021,1264
855,1382,1053,1674,2581,2520,2501
856,160,1524,2028,2073,3018,2620
857,361,676,702,850,1451,2951
858,106,618,1488,1789,1764,1987
859,714,2000,1867,2924,3749,4640
860,3088,3100,2874,4516,4561,4608
861,953,1285,1781,1800,1775,2172
